DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:56:28,30,32,0,997.25,75.856,16,83.188,1331,0,0,2.625,9.375
2025-02-28 05:56:30,68,166,0,1003.735,62.944,83,82.916,6882,0,0,0.584,-6.301
2025-02-28 05:56:32,88,144,0,1007.16,63.923,72,83.111,5984,0,0,0.493,3.694
2025-02-28 05:56:34,108,185,0,1004.222,66.632,92.5,83.168,7693,0,0,0.449,4.038
2025-02-28 05:56:36,129,227,0,1004.176,67.214,113.5,83.062,9427.5,0,0,0.339,3.383
2025-02-28 05:56:38,149,267,0,1004.648,60.078,133.5,82.993,11079.5,0,0,0.341,3.558
2025-02-28 05:56:40,169,303,0,1006.71,67.27,151.5,82.957,12568,0,0,0.403,3.957
2025-02-28 05:56:42,188,344,0,997.201,68.296,172,82.794,14240.5,0,0,0.363,3.512
2025-02-28 05:56:44,209,388,0,1002.974,65.748,194,82.832,16069.5,0,0,0.371,3.505
2025-02-28 05:56:46,229,427,0,1003.775,64.246,213.5,82.979,17716,0,0,0.342,3.689
2025-02-28 05:56:48,250,466,0,999.856,61.302,233,82.906,19317,0,0,0.32,4.165
2025-02-28 05:56:50,268,501,0,1003.455,65.599,250.5,83.082,20812,0,0,0.369,3.782
2025-02-28 05:56:52,289,544,0,1007.329,66.461,272,82.994,22574.5,0,0,0.335,4.156
2025-02-28 05:56:54,309,586,0,1006.003,61.689,293,82.916,24294.5,0,0,0.292,4.522
2025-02-28 05:56:56,330,613,0,1014.024,65.268,306.5,82.811,25381.5,0,0,0.326,5.007
2025-02-28 05:56:58,343,666,0,1012.428,68.061,333,82.839,27585.5,0,0,0.267,4.947
2025-02-28 05:57:00,373,1258,0,1003.828,65.488,629,82.739,52043,0,0,0.218,3.354
2025-02-28 05:57:02,398,771,0,1006.398,68.485,385.5,82.805,31921.5,0,0,0.219,5.551
2025-02-28 05:57:04,419,814,0,1004.225,65.15,407,82.823,33709,0,0,0.205,5.047
2025-02-28 05:57:06,439,848,0,1006.896,67.925,424,82.764,35092,0,0,0.203,5.771
2025-02-28 05:57:08,458,893,0,1004.442,66.936,446.5,82.786,36964,0,0,0.212,6.366
2025-02-28 05:57:10,478,928,0,1009.029,67.55,464,82.702,38373.5,0,0,0.217,7.345
2025-02-28 05:57:12,497,968,0,1008.895,66.345,484,82.707,40030,0,0,0.212,7.373
2025-02-28 05:57:14,500,989,0,1007.154,65.909,494.5,82.509,40800.5,0,0,0.221,8.516
2025-02-28 05:57:16,500,980,0,1012.361,64.671,490,82.443,40397,0,0,0.222,9.862
2025-02-28 05:57:18,500,987,0,1017.173,68.484,493.5,82.331,40630.5,0,0,0.238,12.282
2025-02-28 05:57:20,500,980,0,1011.464,66.822,490,82.337,40345,0,0,0.251,11.852
2025-02-28 05:57:22,500,987,0,1015.333,68.37,493.5,82.264,40597.5,0,0,0.234,13.035
2025-02-28 05:57:24,500,989,0,1016.436,66.106,494.5,82.245,40670,0,0,0.248,15.431
2025-02-28 05:57:26,500,981,0,1016.306,69.817,490.5,82.277,40357,0,0,0.203,15.216
2025-02-28 05:57:28,500,990,0,1013.271,65.874,495,82.383,40779.5,0,0,0.206,12.906
2025-02-28 05:57:30,500,1975,0,1012.033,66.991,987.5,82.347,81317.5,0,0,0.225,7.661
2025-02-28 05:57:32,500,993,0,1009.517,65.957,496.5,82.345,40884.5,0,0,0.222,11.539
2025-02-28 05:57:34,500,991,0,1008.127,62.535,495.5,82.472,40865,0,0,0.19,9.694
2025-02-28 05:57:36,500,990,0,1010.93,66.683,495,82.47,40822.5,0,0,0.225,9.979
2025-02-28 05:57:38,500,1003,0,1009.731,66.654,501.5,82.453,41350,0,0,0.209,10.939
2025-02-28 05:57:40,500,982,0,1015.205,66.493,491,82.382,40449.5,0,0,0.22,13.321
2025-02-28 05:57:42,500,980,0,1013.217,64.171,490,82.44,40395.5,0,0,0.228,12.212
2025-02-28 05:57:44,500,992,0,1007.245,65.547,496,82.655,40997,0,0,0.222,8.867
2025-02-28 05:57:46,500,998,0,1009.477,66.765,499,82.379,41107,0,0,0.226,12.274
2025-02-28 05:57:48,500,895,93,1006.079,64.631,447.5,82.432,36888.5,0,0,0.212,11.303
2025-02-28 05:57:50,500,837,158,1009.504,64.817,418.5,82.45,34505.5,0,0,0.232,10.007
2025-02-28 05:57:52,500,0,985,0,0,0,0,0,0,0,0,0
2025-02-28 05:57:54,500,843,147,1008.669,65.324,421.5,82.677,34848.5,0,0,0.205,16.456
2025-02-28 05:57:56,500,664,335,1012.093,67.876,332,82.58,27416.5,0,0,0.233,9.19
2025-02-28 05:57:58,500,296,698,1011.686,70.695,148,82.622,12228,0,0,0.23,25.541
2025-02-28 05:58:00,500,981,0,1014.824,67.85,490.5,82.417,40425.5,0,0,0.203,12.964
2025-02-28 05:58:02,500,1005,775,1011.144,65.495,502.5,82.433,41422.5,0,0,0.201,-0.778
2025-02-28 05:58:04,500,981,0,1011.242,67.312,490.5,82.441,40437.5,0,0,0.19,9.119
2025-02-28 05:58:06,500,532,459,1014.682,69.667,266,82.474,21938,0,0,0.165,10.919
2025-02-28 05:58:08,500,933,52,1008.459,66.561,466.5,82.401,38440,0,0,0.215,11.842
2025-02-28 05:58:10,500,993,0,1009.306,67.243,496.5,82.454,40938.5,0,0,0.2,11.19
2025-02-28 05:58:12,500,739,252,1005.997,62.353,369.5,82.388,30442.5,0,0,0.195,14.162
2025-02-28 05:58:14,500,1000,0,1008.357,68.404,500,82.459,41229.5,0,0,0.2,9.075
2025-02-28 05:58:16,500,995,0,1012.182,65.905,497.5,82.464,41026,0,0,0.199,8.862
2025-02-28 05:58:18,500,957,29,1008.074,68.842,478.5,82.489,39471,0,0,0.21,9.629
2025-02-28 05:58:20,500,981,0,1015.61,65.608,490.5,82.28,40358.5,0,0,0.221,16.943
2025-02-28 05:58:22,500,956,6,1036.206,68.272,478,81.883,39140,0,0,0.249,35.531
2025-02-28 05:58:24,500,994,0,1014.158,68.806,497,82.283,40894.5,0,0,0.199,14.557
2025-02-28 05:58:26,500,984,0,1017.081,69.662,492,82.223,40453.5,0,0,0.209,16.209
2025-02-28 05:58:28,500,955,0,1025.607,67.599,477.5,82.062,39184.5,0,0,0.219,23.316
2025-02-28 05:58:30,500,976,0,1023.779,69.47,488,82.071,40050.5,0,0,0.222,23.971
2025-02-28 05:58:32,500,1619,0,1062,84.279,809.5,81.605,66059,0,0,0.254,15.638
2025-02-28 05:58:34,500,984,0,1030.302,74.299,492,82.113,40399.5,0,0,0.195,28.425
2025-02-28 05:58:36,500,977,0,1015.68,67.935,488.5,82.392,40248.5,0,0,0.225,11.881
2025-02-28 05:58:38,500,992,0,1010.191,64.128,496,82.467,40903.5,0,0,0.184,11.478
2025-02-28 05:58:40,500,989,0,1014.892,67.423,494.5,82.479,40786,0,0,0.187,12.024
2025-02-28 05:58:42,500,1005,0,1010.611,67.044,502.5,82.516,41464.5,0,0,0.179,11.764
2025-02-28 05:58:44,500,976,0,1011.652,65.874,488,82.457,40239,0,0,0.208,12.665
2025-02-28 05:58:46,500,1004,0,1010.955,65.221,502,82.415,41372.5,0,0,0.196,11.382
2025-02-28 05:58:48,500,990,0,1007.982,63.253,495,82.528,40851.5,0,0,0.202,10.069
