Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741134184,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.17%,"77.56MiB / 1GiB",7.57%,"2.56MB / 1.72MB","0B / 0B",30
1741134184,469747e068cc,reverse-proxy-controller-1,469747e068cc,4.41%,"879.6MiB / 15.48GiB",5.55%,"2.64MB / 411kB","0B / 0B",249
1741134194,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134194,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,29.23%,"2.526GiB / 15.48GiB",16.32%,"2.31MB / 3.6MB","0B / 0B",1439
1741134194,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.81%,"113.5MiB / 15.48GiB",0.72%,"4.73MB / 5.46MB","0B / 0B",38
1741134194,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,92.87%,"78.15MiB / 1GiB",7.63%,"3.1MB / 2.08MB","0B / 0B",32
1741134194,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.92%,"881.3MiB / 15.48GiB",5.56%,"2.78MB / 454kB","0B / 0B",248
1741134206,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134206,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,10.48%,"2.528GiB / 15.48GiB",16.33%,"2.71MB / 4.16MB","0B / 0B",1434
1741134206,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.86%,"114.6MiB / 15.48GiB",0.72%,"5.56MB / 6.42MB","0B / 0B",38
1741134206,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,92.24%,"80.95MiB / 1GiB",7.91%,"3.65MB / 2.45MB","0B / 0B",32
1741134206,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.98%,"882.8MiB / 15.48GiB",5.57%,"2.94MB / 495kB","0B / 0B",248
1741134218,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134218,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,11.75%,"2.526GiB / 15.48GiB",16.32%,"3.09MB / 4.72MB","0B / 0B",1434
1741134218,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.87%,"116.8MiB / 15.48GiB",0.74%,"6.36MB / 7.34MB","0B / 0B",38
1741134218,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,95.65%,"79.55MiB / 1GiB",7.77%,"4.17MB / 2.79MB","0B / 0B",27
1741134218,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.28%,"884MiB / 15.48GiB",5.58%,"3.11MB / 543kB","0B / 0B",248
1741134228,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134228,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,10.94%,"2.529GiB / 15.48GiB",16.34%,"3.5MB / 5.27MB","0B / 0B",1430
1741134228,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.82%,"117.4MiB / 15.48GiB",0.74%,"7.18MB / 8.29MB","0B / 0B",38
1741134228,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,99.32%,"81.95MiB / 1GiB",8.00%,"4.69MB / 3.14MB","0B / 0B",27
1741134228,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.98%,"885.5MiB / 15.48GiB",5.59%,"3.25MB / 586kB","0B / 0B",248
1741134240,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
1741134240,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,9.95%,"2.532GiB / 15.48GiB",16.36%,"3.91MB / 5.83MB","0B / 0B",1432
1741134240,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.89%,"117.6MiB / 15.48GiB",0.74%,"7.98MB / 9.19MB","0B / 0B",38
1741134240,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.07%,"80.82MiB / 1GiB",7.89%,"5.17MB / 3.49MB","0B / 0B",28
1741134240,469747e068cc,reverse-proxy-controller-1,469747e068cc,4.50%,"887MiB / 15.48GiB",5.60%,"3.42MB / 634kB","0B / 0B",248
1741134252,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.13kB / 0B","0B / 0B",18
