Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622866,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.06%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622878,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622878,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.37%,"129.9MiB / 15.48GiB",0.82%,"82.7MB / 690kB","0B / 0B",32
1740622878,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.08%,"88.56MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622878,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.61%,"585.6MiB / 15.48GiB",3.69%,"693kB / 82.7MB","0B / 0B",223
1740622878,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.07%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622891,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622891,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.11%,"133.8MiB / 15.48GiB",0.84%,"82.7MB / 700kB","0B / 0B",32
1740622891,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.09%,"88.56MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622891,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.61%,"586.3MiB / 15.48GiB",3.70%,"703kB / 82.7MB","0B / 0B",223
1740622891,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.08%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622903,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622903,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,1.00%,"140MiB / 15.48GiB",0.88%,"82.7MB / 711kB","0B / 0B",32
1740622903,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.08%,"88.56MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622903,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.93%,"587.4MiB / 15.48GiB",3.71%,"713kB / 82.7MB","0B / 0B",223
1740622903,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.07%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622915,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622915,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.11%,"143.9MiB / 15.48GiB",0.91%,"82.7MB / 721kB","0B / 0B",32
1740622915,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.12%,"88.56MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622915,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.41%,"588.6MiB / 15.48GiB",3.71%,"723kB / 82.7MB","0B / 0B",224
1740622915,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.06%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622928,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622928,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.11%,"150MiB / 15.48GiB",0.95%,"82.7MB / 732kB","0B / 0B",32
1740622928,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.07%,"88.56MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622928,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,1.14%,"589.4MiB / 15.48GiB",3.72%,"734kB / 82.7MB","0B / 0B",223
1740622928,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.06%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622940,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622940,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.16%,"155.9MiB / 15.48GiB",0.98%,"82.7MB / 742kB","0B / 0B",32
1740622940,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.08%,"88.55MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622940,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.63%,"590.5MiB / 15.48GiB",3.73%,"745kB / 82.7MB","0B / 0B",222
1740622940,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.07%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622953,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622953,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.09%,"160.1MiB / 15.48GiB",1.01%,"82.7MB / 752kB","0B / 0B",32
1740622953,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.09%,"88.57MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622953,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.90%,"591.3MiB / 15.48GiB",3.73%,"754kB / 82.7MB","0B / 0B",222
1740622953,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.06%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622965,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622965,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.11%,"168.1MiB / 15.48GiB",1.06%,"82.7MB / 763kB","0B / 0B",33
1740622965,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.08%,"88.68MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622965,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.62%,"592.4MiB / 15.48GiB",3.74%,"765kB / 82.7MB","0B / 0B",223
1740622965,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.08%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622978,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622978,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.12%,"172.2MiB / 15.48GiB",1.09%,"82.7MB / 773kB","0B / 0B",32
1740622978,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.07%,"88.67MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622978,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.52%,"593.2MiB / 15.48GiB",3.74%,"775kB / 82.7MB","0B / 0B",222
1740622978,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.05%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
1740622990,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.31kB / 0B","0B / 0B",18
1740622990,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.09%,"178.2MiB / 15.48GiB",1.12%,"82.7MB / 784kB","0B / 0B",32
1740622990,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.07%,"88.68MiB / 15.48GiB",0.56%,"1.46kB / 0B","0B / 0B",38
1740622990,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.68%,"594.2MiB / 15.48GiB",3.75%,"786kB / 82.7MB","0B / 0B",224
1740622990,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.07%,"43.01MiB / 500MiB",8.60%,"1.66kB / 0B","0B / 0B",5
