Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741157573,a25e162baae3,reverse-proxy-api-1,a25e162baae3,8.18%,"173.3MiB / 400MiB",43.33%,"550MB / 391MB","0B / 0B",22
1741157573,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,0.97%,"59.25MiB / 15.48GiB",0.37%,"888MB / 1.07GB","0B / 0B",32
1741157573,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,16.28%,"2.267GiB / 15.48GiB",14.65%,"609MB / 534MB","0B / 0B",1432
1741157573,1971fd266400,reverse-proxy-controller-1,1971fd266400,1.72%,"758.4MiB / 15.48GiB",4.79%,"49.1MB / 95.1MB","0B / 0B",246
1741157586,a25e162baae3,reverse-proxy-api-1,a25e162baae3,15.04%,"173.3MiB / 400MiB",43.32%,"550MB / 391MB","0B / 0B",23
1741157586,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,1.66%,"60.04MiB / 15.48GiB",0.38%,"888MB / 1.07GB","0B / 0B",32
1741157586,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,19.71%,"2.284GiB / 15.48GiB",14.76%,"610MB / 535MB","0B / 0B",1436
1741157586,1971fd266400,reverse-proxy-controller-1,1971fd266400,0.87%,"759.1MiB / 15.48GiB",4.79%,"49.2MB / 95.2MB","0B / 0B",247
1741157598,a25e162baae3,reverse-proxy-api-1,a25e162baae3,17.79%,"172.6MiB / 400MiB",43.16%,"551MB / 392MB","0B / 0B",24
1741157598,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,1.96%,"61MiB / 15.48GiB",0.38%,"889MB / 1.07GB","0B / 0B",32
1741157598,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,15.21%,"2.296GiB / 15.48GiB",14.83%,"610MB / 535MB","0B / 0B",1437
1741157598,1971fd266400,reverse-proxy-controller-1,1971fd266400,0.60%,"759.8MiB / 15.48GiB",4.79%,"49.4MB / 95.2MB","0B / 0B",247
1741157610,a25e162baae3,reverse-proxy-api-1,a25e162baae3,21.47%,"172.5MiB / 400MiB",43.13%,"551MB / 392MB","0B / 0B",23
1741157610,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,2.49%,"62.25MiB / 15.48GiB",0.39%,"890MB / 1.07GB","0B / 0B",32
1741157610,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,20.72%,"2.315GiB / 15.48GiB",14.96%,"611MB / 536MB","0B / 0B",1436
1741157610,1971fd266400,reverse-proxy-controller-1,1971fd266400,0.72%,"760.6MiB / 15.48GiB",4.80%,"49.6MB / 95.3MB","0B / 0B",247
1741157621,a25e162baae3,reverse-proxy-api-1,a25e162baae3,25.81%,"174.3MiB / 400MiB",43.58%,"552MB / 392MB","0B / 0B",25
1741157621,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,2.92%,"62.46MiB / 15.48GiB",0.39%,"891MB / 1.08GB","0B / 0B",32
1741157621,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,18.83%,"2.347GiB / 15.48GiB",15.17%,"612MB / 537MB","0B / 0B",1433
1741157621,1971fd266400,reverse-proxy-controller-1,1971fd266400,0.79%,"761.2MiB / 15.48GiB",4.80%,"49.7MB / 95.3MB","0B / 0B",247
1741157633,a25e162baae3,reverse-proxy-api-1,a25e162baae3,33.70%,"173.6MiB / 400MiB",43.39%,"552MB / 393MB","0B / 0B",26
1741157633,ab4225045ee5,reverse-proxy-lb-1,ab4225045ee5,3.52%,"62.48MiB / 15.48GiB",0.39%,"892MB / 1.08GB","0B / 0B",32
1741157633,04814cf7db08,reverse-proxy-agent-1,04814cf7db08,19.36%,"2.406GiB / 15.48GiB",15.54%,"613MB / 538MB","0B / 0B",1432
1741157633,1971fd266400,reverse-proxy-controller-1,1971fd266400,1.05%,"762.1MiB / 15.48GiB",4.81%,"49.9MB / 95.4MB","0B / 0B",247
